flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,setpoint_speed_xy_mps,setpoint_vz_up_mps,truth_vz_up_mps
F2,20260720T071112-cd18c5fb,191,208146505333600,3.0332889,1784531476396650300,feature,takeoff,False,detector,FULL_QUAD,certified,5.299432232204071,6.1232159855052375,0.07482991501071459,-3.066625589347833,0.0,325.5,133.5,83.05419917138447,440.1401001087315,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,-0.0
F2,20260720T071112-cd18c5fb,192,208146543632700,3.071588,1784531476431743200,feature,takeoff,False,detector,FULL_QUAD,certified,5.436184784807052,6.284659113981984,0.037527064541081075,-3.153319978025708,0.0,321.0,133.5,80.05623023850174,435.2004607515534,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,0.22456475074683194
F2,20260720T071112-cd18c5fb,193,208146567689800,3.0956451,1784531476459284200,feature,takeoff,False,detector,FULL_QUAD,certified,5.5607390604784515,6.356111239817373,0.03384747263698794,-3.078503783138501,0.0,322.0,138.5,80.00624975587844,444.89387809990785,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,2.3373854659555144
F2,20260720T071112-cd18c5fb,194,208146602364800,3.1303201,1784531476493936100,feature,takeoff,False,detector,FULL_QUAD,certified,5.6718212836648085,6.22943350056517,0.04933764812222426,-2.5756263045341594,0.0,321.5,162.5,79.00632886041473,448.1097775747215,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,2.929775784835749
F2,20260720T071112-cd18c5fb,195,208146637766700,3.165722,1784531476528745700,feature,takeoff,False,detector,FULL_QUAD,certified,5.916175110879195,6.27896398625669,0.03474396336933055,-2.1031057165847464,0.0,321.5,190.0,79.02531240052139,467.52758635341763,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,1.7696834694641146
F2,20260720T071112-cd18c5fb,196,208146671458800,3.1994141,1784531476563342100,feature,takeoff,False,detector,FULL_QUAD,certified,6.008582590247462,6.181550254702357,0.011437875024445878,-1.4520220324088724,0.0,322.0,225.0,80.0,480.686607219797,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,0.7879627735773447
F2,20260720T071112-cd18c5fb,197,208146707456000,3.2354113,1784531476597958400,feature,takeoff,False,detector,FULL_QUAD,certified,6.147499720820815,6.230212303625538,0.018725095706873758,-1.0116530539398378,0.0,322.5,251.5,81.00617260431454,497.98542346978644,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,0.20602791232433548
F2,20260720T071112-cd18c5fb,198,208146734403400,3.2623587,1784531476625715200,feature,takeoff,False,detector,FULL_QUAD,certified,6.2065089740367565,6.280603626715462,0.03838361223272369,-0.961121724561766,0.0,322.0,254.5,82.00609733428362,508.971579030963,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,0.44597784250987715
F2,20260720T071112-cd18c5fb,199,208146769850900,3.2978062,1784531476660482600,feature,takeoff,False,detector,FULL_QUAD,certified,6.122849628604177,6.21401051319,0.047102599507155576,-1.0594434523169265,0.005697704,321.0,248.0,80.02499609497022,489.98101761913915,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,0.7920427671937271
F2,20260720T071112-cd18c5fb,200,208146804313000,3.3322683,1784531476695089900,feature,takeoff,False,detector,FULL_QUAD,certified,6.06864597381878,6.158090062683464,0.06542144046182095,-1.0437093942768958,0.004921632,320.0,246.0,78.23042886243178,474.75277714611315,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,1.039574235494039
F2,20260720T071112-cd18c5fb,201,208146838939200,3.3668945,1784531476730073500,feature,takeoff,False,detector,FULL_QUAD,certified,5.963138259110632,6.051094657731543,0.04144318171843909,-1.0271373434197044,0.0,317.5,250.0,87.5728268357257,522.2088741625862,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,0.33481790447588833
F2,20260720T071112-cd18c5fb,202,208146874044600,3.4019999,1784531476764674000,feature,takeoff,False,detector,FULL_QUAD,certified,6.023860831940757,6.1264742352978026,0.06070580999306711,-1.1149448586413997,0.0,319.5,244.5,81.05553651663777,488.267271634518,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,0.0,0.9521188349133997,0.5821068131973599
